CUSTOMER,FLAG,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
C227,0,1059,861,1190,930,944,1059,861,1190,930,944,1190,930
C228,0,230,251,251,233,229,230,251,251,233,229,251,233
C229,0,131,150,180,188,145,110,141,124,145,135,124,145
C230,0,31,65,36,22,48,31,65,36,22,48,36,22
C231,0,73,72,71,75,75,70,74,75,75,78,75,75
C232,0,23,23,28,96,51,23,23,28,96,51,28,96
C233,0,135,143,145,130,136,135,143,145,130,136,145,130
C234,0,40,47,66,72,69,73,77,84,100,0,84,100
C235,0,70,79,97,95,82,97,95,82,98,101,82,98
C236,0,50,58,64,71,68,61,83,75,78,85,75,78
C237,0,5,10,12,8,10,5,6,5,2,7,5,2
C238,0,10,12,8,18,16,15,18,10,20,24,10,20
C239,0,341,345,369,372,298,116,131,130,124,120,130,124
C240,0,188,231,227,248,183,188,231,227,277,359,227,277
C241,0,70,63,60,76,57,60,63,60,76,78,60,76
C242,0,74,70,74,54,68,89,77,70,87,89,70,87
C243,0,29,80,98,129,118,129,200,280,290,287,280,290
C244,0,115,115,200,128,85,54,13,50,56,68,50,56
C245,0,56,52,59,62,60,58,67,69,74,78,69,74
C246,0,66,66,65,79,67,66,66,65,79,67,65,79
C247,0,191,194,202,188,207,191,194,202,188,207,202,188
C248,0,111,124,104,160,189,111,124,104,160,189,104,160
C249,0,161,164,161,104,122,161,164,161,104,122,161,104
C250,0,109,140,170,155,172,100,105,106,106,104,106,106
C251,0,137,128,136,120,132,124,137,128,136,142,128,136
C252,0,157,174,233,176,186,69,86,76,96,84,76,96
C253,0,50,50,59,59,63,56,60,57,57,60,57,57
C254,0,308,309,285,281,294,246,315,245,202,231,245,202
C255,0,68,65,66,74,116,96,117,113,115,121,113,115
C256,0,128,109,81,154,107,97,106,88,125,132,88,125
C257,0,11,16,8,5,9,11,16,8,5,9,8,5
C258,0,50,69,93,97,115,93,97,115,120,130,115,120
C259,0,104,89,110,62,127,104,89,110,62,127,110,62
C260,0,30,27,25,8,18,30,27,25,8,32,25,8
C261,0,69,57,78,65,60,39,54,28,9,32,28,9
C262,0,22,31,54,36,32,36,32,31,54,56,31,54
C263,0,5,3,9,8,5,6,5,4,7,7,4,7
C264,0,14,35,10,25,20,150,149,32,29,30,32,29
C265,0,120,116,141,165,136,185,190,196,231,228,196,231
C266,0,105,103,78,146,123,105,103,78,146,147,78,146
C267,0,361,374,377,296,409,361,374,377,296,409,377,296
C268,0,241,214,245,279,224,254,323,272,300,0,272,300
C269,0,124,128,125,118,110,59,176,65,89,99,65,89
C270,0,105,129,166,165,118,120,125,150,168,166,150,168
C271,0,200,243,236,201,263,295,290,452,455,66,452,455
C272,0,10,66,13,4,12,14,66,13,4,12,13,4
C273,0,385,419,459,225,638,500,419,459,225,638,459,225
C274,0,10,11,14,10,20,11,14,10,18,22,10,18
C275,0,18,20,26,68,87,106,104,118,25,114,118,25
C276,0,41,46,43,38,33,33,39,27,12,25,27,12
C277,0,210,225,331,328,288,253,245,279,268,278,279,268
C278,0,10,15,23,26,18,33,9,75,65,50,75,65
C279,0,60,70,72,69,63,100,103,102,105,120,102,105
C280,0,35,17,46,62,47,26,30,19,62,47,19,62
C281,0,104,116,121,104,110,79,90,90,37,95,90,37
C282,0,72,72,65,61,70,72,72,65,70,78,65,70
C283,0,123,134,153,164,143,99,109,117,149,134,117,149
C284,0,50,56,58,58,51,56,59,57,54,56,57,54
C285,0,51,52,52,51,51,51,52,52,51,51,52,51
C286,0,77,50,115,79,80,77,50,115,79,89,115,79
C287,0,130,108,120,119,93,121,128,136,152,160,136,152
C288,0,30,50,35,52,46,32,30,50,35,62,50,35
C289,0,204,214,233,291,220,216,218,229,194,220,229,194
C290,0,88,74,67,13,78,88,74,67,13,78,67,13
C291,0,529,466,494,305,565,529,466,494,305,565,494,305
C292,0,56,54,66,46,156,56,54,66,46,156,66,46
C293,0,242,229,229,238,223,179,176,263,348,233,263,348
C294,0,118,115,102,105,102,118,115,102,105,102,102,105
C295,0,17,18,22,21,15,17,18,22,21,15,22,21
C296,0,1753,1834,1805,1609,1535,1744,1609,1535,1790,1827,1535,1790
C297,0,95,73,80,338,342,360,338,342,166,343,342,166
C298,0,309,255,306,234,348,309,255,306,234,348,306,234
C299,0,220,226,273,259,143,266,277,238,68,288,238,68
C300,0,53,15,7,12,20,16,22,19,26,27,19,26
C301,0,15,20,16,22,22,15,26,5,20,15,5,20
C302,0,79,188,132,57,84,79,188,132,57,84,132,57
C303,0,70,77,72,56,60,77,72,56,60,66,56,60
C304,0,31,36,29,10,31,31,36,29,10,31,29,10
C305,0,56,60,62,54,42,21,29,64,68,62,64,68
C306,0,10,15,21,18,20,3,21,18,20,21,18,20
C307,0,87,80,78,79,86,79,86,87,164,158,87,164
C308,0,238,180,187,238,266,250,190,187,238,266,187,238
C309,0,193,241,229,230,224,193,241,229,230,224,229,230
C310,0,17,10,53,80,0,17,10,53,80,0,53,80
C311,0,120,115,124,121,160,120,115,124,121,160,124,121
C312,0,99,99,126,143,110,200,192,212,242,231,212,242
C313,0,55,43,58,60,43,58,60,43,58,60,43,58
C314,1,94,95,115,113,128,140,165,155,136,142,121,109
C315,1,129,201,110,145,0,0,0,0,0,0,0,0
C316,1,0,0,0,1,0,1,0,1,0,1,62,63
C317,1,0,1,0,0,0,1,0,98,29,92,73,0
C318,1,73,51,47,42,5,4,2,1,13,0,3,35
C319,1,289,267,219,117,240,265,228,249,231,296,298,0
C320,1,167,88,171,123,133,115,117,114,116,106,87,104
C321,1,0,12,0,0,0,0,44,249,85,84,53,52
C322,1,87,55,3,0,0,26,35,67,94,89,153,137
C323,1,0,0,0,0,0,0,75,0,28,34,75,110
C324,1,36,17,23,5,0,0,0,0,0,0,0,0
C325,1,31,28,29,8,12,0,0,0,0,0,0,0
C326,1,130,45,0,0,0,0,0,0,0,0,0,0
C327,1,93,97,144,135,0,0,0,0,0,0,0,0
C328,1,76,0,0,0,1582,0,0,0,0,0,0,0
C329,1,188,0,0,0,0,0,0,1733,21,73,52,193
C330,1,0,0,0,0,0,0,0,0,0,0,53,125
C331,1,11,12,9,3,1,0,0,5,2,4,6,0
C332,1,0,0,0,0,0,0,0,33,125,123,72,83
C333,1,49,22,43,43,25,22,35,0,0,0,0,0
C334,1,200,181,181,188,178,188,167,186,188,190,177,202
C335,1,0,0,32,14,0,0,0,1,7,78,65,0
C336,1,52,21,35,75,71,108,0,0,0,0,0,0
C337,1,146,267,269,109,0,0,0,0,66,257,258,176
C338,1,1052,161,0,0,253,417,680,55,0,0,0,0
C339,1,376,360,258,232,250,629,1005,1003,750,565,486,313
C340,1,248,311,272,378,340,326,318,322,225,142,186,284
C341,1,78,0,0,0,14,0,0,0,24,53,306,181
C342,1,84,113,0,54,0,0,0,0,0,0,0,0
C343,1,5,0,0,7,0,0,0,64,37,38,35,52
C344,1,28,25,24,23,26,0,0,0,0,0,0,0
C345,1,163,0,0,0,0,0,0,17,176,187,98,68
C346,1,0,0,47,76,98,11,35,16,7,9,5,9
C347,1,0,0,0,0,0,63,0,0,0,57,62,88
C348,1,0,0,160,270,252,191,133,143,141,27,35,59
C349,1,0,0,0,0,0,0,63,24,64,0,63,107
C350,1,0,0,0,0,0,0,172,208,307,278,170,142
C351,1,0,0,0,21,0,5,11,0,5,13,20,22
C352,1,0,0,0,0,0,98,258,193,191,194,168,172
C353,1,0,0,0,0,0,111,46,48,45,55,38,0
C354,1,0,318,723,579,486,342,353,295,301,277,265,237
C355,1,0,0,0,0,69,203,172,174,203,192,261,239
C356,1,0,13,171,107,85,82,88,101,153,176,176,204
C357,1,0,0,0,19,438,424,419,391,410,450,429,410
C358,1,192,20,13,64,0,0,0,0,0,0,0,0
C359,1,0,293,318,301,244,204,174,135,174,222,319,305
C360,1,0,0,0,0,0,10,18,16,19,19,20,22
